Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink fixed 0 6.211 76363093.33333334 2.368653421633554
fidelity/reno ccp_netlink fixed 0 6.288 76523520.0 2.5472837022132797
fidelity/reno ccp_netlink fixed 0 6.365 80213333.33333334 2.9034907597535935
fidelity/reno ccp_netlink fixed 0 6.441 77806933.33333334 2.4385245901639343
fidelity/reno ccp_netlink fixed 0 6.518 79892480.0 2.9322381930184807
fidelity/reno ccp_netlink fixed 0 6.594 84705280.0 3.156555772994129
fidelity/reno ccp_netlink fixed 0 6.671 79250773.33333334 2.9150197628458496
fidelity/reno ccp_netlink fixed 0 6.747 86469973.33333334 2.89738430583501
fidelity/reno ccp_netlink fixed 0 6.826 86469973.33333334 2.945750452079566
fidelity/reno ccp_netlink fixed 0 6.902 86469973.33333334 3.4530075187969924
fidelity/reno ccp_netlink fixed 0 6.978 86469973.33333334 2.667924528301887
fidelity/reno ccp_netlink fixed 0 7.055 91122346.66666667 2.8489208633093526
fidelity/reno ccp_netlink fixed 0 7.131 85667840.0 2.737704918032787
fidelity/reno ccp_netlink fixed 0 7.207 91443200.0 2.89010989010989
fidelity/reno ccp_netlink fixed 0 7.284 98501973.33333334 2.692176870748299
fidelity/reno ccp_netlink fixed 0 7.36 87272106.66666667 2.9964912280701754
fidelity/reno ccp_netlink fixed 0 7.437 93689173.33333334 4.019713261648746
fidelity/reno ccp_netlink fixed 0 7.515 95935146.66666667 3.9001692047377325
fidelity/reno ccp_netlink fixed 0 7.592 96256000.0 3.0594059405940595
fidelity/reno ccp_netlink fixed 0 7.668 96095573.33333334 3.746218487394958
fidelity/reno ccp_netlink fixed 0 7.746 94972586.66666667 3.3852459016393444
fidelity/reno ccp_netlink fixed 0 7.823 99624960.0 3.886138613861386
fidelity/reno ccp_netlink fixed 0 7.899 96576853.33333334 3.7218543046357615
fidelity/reno ccp_netlink fixed 0 7.975 98020693.33333334 4.054726368159204
fidelity/reno ccp_netlink fixed 0 8.05 97860266.66666667 4.1541038525963145
fidelity/reno ccp_netlink fixed 0 8.129 96737280.0 4.612745098039215
fidelity/reno ccp_netlink fixed 0 8.206 100908373.33333334 5.701298701298701
fidelity/reno ccp_netlink fixed 0 8.282 94651733.33333334 4.968595041322314
fidelity/reno ccp_netlink fixed 0 8.358 99945813.33333334 5.6381578947368425
fidelity/reno ccp_netlink fixed 0 8.434 95774720.0 6.194078947368421
fidelity/reno ccp_netlink fixed 0 8.51 98822826.66666667 6.582236842105263
fidelity/reno ccp_netlink fixed 0 8.587 97058133.33333334 6.467532467532467
fidelity/reno ccp_netlink fixed 0 8.662 98341546.66666667 7.031666666666666
fidelity/reno ccp_netlink fixed 0 8.738 100106240.0 6.949013157894737
fidelity/reno ccp_netlink fixed 0 8.813 94170453.33333334 6.9816666666666665
fidelity/reno ccp_netlink fixed 0 8.89 100427093.33333334 7.787337662337662
fidelity/reno ccp_netlink fixed 0 8.966 96416426.66666667 8.297697368421053
fidelity/reno ccp_netlink fixed 0 9.043 98181120.0 8.251623376623376
fidelity/reno ccp_netlink fixed 0 9.118 95935146.66666667 8.635
fidelity/reno ccp_netlink fixed 0 9.194 98662400.0 9.401315789473685
fidelity/reno ccp_netlink fixed 0 9.27 100908373.33333334 9.054276315789474
fidelity/reno ccp_netlink fixed 0 9.345 94812160.0 9.826666666666666
fidelity/reno ccp_netlink fixed 0 9.423 101710506.66666667 9.818910256410257
fidelity/reno ccp_netlink fixed 0 9.502 98983253.33333334 9.362341772151899
fidelity/reno ccp_netlink fixed 0 9.579 100908373.33333334 10.01461038961039
fidelity/reno ccp_netlink fixed 0 9.655 93689173.33333334 10.769736842105264
fidelity/reno ccp_netlink fixed 0 9.73 100908373.33333334 10.516666666666667
fidelity/reno ccp_netlink fixed 0 9.807 100908373.33333334 11.107142857142858
