Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink drop 0 6.427 96095573.33333334 3.3586572438162543
fidelity/reno ccp_netlink drop 0 6.503 91282773.33333334 3.040421792618629
fidelity/reno ccp_netlink drop 0 6.58 98020693.33333334 3.4230118443316413
fidelity/reno ccp_netlink drop 0 6.657 96897706.66666667 2.989983305509182
fidelity/reno ccp_netlink drop 0 6.736 101068800.0 3.6768488745980705
fidelity/reno ccp_netlink drop 0 6.816 100427093.33333334 3.4335443037974684
fidelity/reno ccp_netlink drop 0 6.895 100908373.33333334 3.7548701298701297
fidelity/reno ccp_netlink drop 0 6.971 93689173.33333334 3.6887417218543046
fidelity/reno ccp_netlink drop 0 7.047 100908373.33333334 3.943801652892562
fidelity/reno ccp_netlink drop 0 7.124 98181120.0 4.3780687397708675
fidelity/reno ccp_netlink drop 0 7.201 97860266.66666667 4.792207792207792
fidelity/reno ccp_netlink drop 0 7.28 102833493.33333334 5.292721518987341
fidelity/reno ccp_netlink drop 0 7.356 97539413.33333334 5.004934210526316
fidelity/reno ccp_netlink drop 0 7.435 100908373.33333334 5.9224683544303796
fidelity/reno ccp_netlink drop 0 7.511 100908373.33333334 5.259868421052632
fidelity/reno ccp_netlink drop 0 7.587 93689173.33333334 5.625
fidelity/reno ccp_netlink drop 0 7.663 95774720.0 6.598684210526316
fidelity/reno ccp_netlink drop 0 7.739 98822826.66666667 6.5394736842105265
fidelity/reno ccp_netlink drop 0 7.815 102673066.66666667 6.495065789473684
fidelity/reno ccp_netlink drop 0 7.896 101870933.33333334 7.16820987654321
fidelity/reno ccp_netlink drop 0 7.973 98181120.0 7.641233766233766
fidelity/reno ccp_netlink drop 0 8.051 100908373.33333334 7.785256410256411
fidelity/reno ccp_netlink drop 0 8.127 94491306.66666667 8.044407894736842
fidelity/reno ccp_netlink drop 0 8.203 100106240.0 8.810855263157896
fidelity/reno ccp_netlink drop 0 8.28 95293440.0 8.86525974025974
fidelity/reno ccp_netlink drop 0 8.355 99304106.66666667 9.37
fidelity/reno ccp_netlink drop 0 8.431 95614293.33333334 9.495065789473685
fidelity/reno ccp_netlink drop 0 8.506 99624960.0 9.641666666666667
fidelity/reno ccp_netlink drop 0 8.584 100266666.66666667 9.753205128205128
fidelity/reno ccp_netlink drop 0 8.659 93689173.33333334 10.476666666666667
fidelity/reno ccp_netlink drop 0 8.735 100908373.33333334 10.796052631578947
fidelity/reno ccp_netlink drop 0 8.811 94651733.33333334 10.756578947368421
fidelity/reno ccp_netlink drop 0 8.888 102833493.33333334 10.756493506493506
fidelity/reno ccp_netlink drop 0 8.964 98020693.33333334 11.294407894736842
fidelity/reno ccp_netlink drop 0 9.043 100908373.33333334 11.436708860759493
fidelity/reno ccp_netlink drop 0 9.12 94170453.33333334 11.894480519480519
fidelity/reno ccp_netlink drop 0 9.196 100427093.33333334 11.848684210526315
fidelity/reno ccp_netlink drop 0 9.271 95133013.33333334 12.06
fidelity/reno ccp_netlink drop 0 9.348 101550080.0 12.577922077922079
fidelity/reno ccp_netlink drop 0 9.427 100106240.0 12.147151898734178
fidelity/reno ccp_netlink drop 0 9.504 99624960.0 13.099025974025974
fidelity/reno ccp_netlink drop 0 9.579 94330880.0 12.583333333333334
fidelity/reno ccp_netlink drop 0 9.656 100266666.66666667 13.081168831168831
fidelity/reno ccp_netlink drop 0 9.732 96416426.66666667 13.333881578947368
fidelity/reno ccp_netlink drop 0 9.808 101870933.33333334 14.023026315789474
fidelity/reno ccp_netlink drop 0 9.885 97699840.0 13.938311688311689
fidelity/reno ccp_netlink drop 0 9.964 102833493.33333334 14.55379746835443
fidelity/reno ccp_netlink drop 0 10.041 98983253.33333334 15.39935064935065
fidelity/reno ccp_netlink drop 0 10.119 97699840.0 15.225961538461538
fidelity/reno ccp_netlink drop 0 10.194 96416426.66666667 15.315
fidelity/reno ccp_netlink drop 0 10.271 100908373.33333334 15.394480519480519
fidelity/reno ccp_netlink drop 0 10.347 93689173.33333334 15.337171052631579
