Algorithm Impl Scenario IterationX IterationY Time Cwnd
fidelity/cubic ccp_netlink fixed 0 0 0.403043036 143.0
fidelity/cubic ccp_netlink fixed 0 0 0.40490663400000004 143.0
fidelity/cubic ccp_netlink fixed 0 0 0.40661958500000006 143.0
fidelity/cubic ccp_netlink fixed 0 0 0.40669523400000007 143.0
fidelity/cubic ccp_netlink fixed 0 0 0.411091703 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.4127123730000001 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.41862070800000006 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.43618451300000005 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.44007953200000005 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.44809423000000004 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.45275258800000007 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.462596637 144.0
fidelity/cubic ccp_netlink fixed 0 0 0.471393441 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.474330766 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.4832303130000001 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.488623393 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.493791741 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.496454292 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.508454613 145.0
fidelity/cubic ccp_netlink fixed 0 0 0.518347427 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.529942184 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.530410043 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.542791844 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.546609236 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.546681219 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.556424761 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.5585920830000001 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.565090973 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.5651586710000001 146.0
fidelity/cubic ccp_netlink fixed 0 0 0.5790270350000001 147.0
fidelity/cubic ccp_netlink fixed 0 0 0.5994894860000001 147.0
fidelity/cubic ccp_netlink fixed 0 0 0.606202863 147.0
fidelity/cubic ccp_netlink fixed 0 0 0.616860833 147.0
fidelity/cubic ccp_netlink fixed 0 0 0.619224053 147.0
fidelity/cubic ccp_netlink fixed 0 0 0.6207848690000001 147.0
fidelity/cubic ccp_netlink fixed 0 0 0.634211594 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.638705764 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.647262362 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.6474429890000001 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.669759725 148.0
