Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink cell 0 6.93 7058773.333333334 114.09433962264151
fidelity/reno ccp_netlink cell 0 7.007 11229866.666666668 107.55737704918033
fidelity/reno ccp_netlink cell 0 7.087 6577493.333333334 98.58
fidelity/reno ccp_netlink cell 0 7.164 9304746.666666668 107.25490196078431
fidelity/reno ccp_netlink cell 0 7.246 11069440.0 101.5625
fidelity/reno ccp_netlink cell 0 7.325 7379626.666666667 93.83636363636364
fidelity/reno ccp_netlink cell 0 7.405 11390293.333333334 105.13333333333334
fidelity/reno ccp_netlink cell 0 7.487 7219200.0 101.48387096774194
fidelity/reno ccp_netlink cell 0 7.567 10106880.0 102.27272727272727
fidelity/reno ccp_netlink cell 0 7.643 8983893.333333334 108.08196721311475
fidelity/reno ccp_netlink cell 0 7.72 10267306.666666668 93.01694915254237
fidelity/reno ccp_netlink cell 0 7.805 10909013.333333334 95.01408450704226
fidelity/reno ccp_netlink cell 0 7.89 9625600.0 104.45762711864407
fidelity/reno ccp_netlink cell 0 7.966 7860906.666666667 105.06
fidelity/reno ccp_netlink cell 0 8.046 8502613.333333334 106.15151515151516
fidelity/reno ccp_netlink cell 0 8.159 14277973.333333334 103.91549295774648
fidelity/reno ccp_netlink cell 0 8.254 7540053.333333334 112.22950819672131
fidelity/reno ccp_netlink cell 0 8.335 7540053.333333334 120.48837209302326
fidelity/reno ccp_netlink cell 0 8.411 7058773.333333334 142.46808510638297
fidelity/reno ccp_netlink cell 0 8.489 6898346.666666667 148.87234042553192
fidelity/reno ccp_netlink cell 0 8.569 5133653.333333334 151.0857142857143
fidelity/reno ccp_netlink cell 0 8.645 8181760.0 173.9047619047619
fidelity/reno ccp_netlink cell 0 8.723 7700480.0 167.05882352941177
fidelity/reno ccp_netlink cell 0 8.802 7540053.333333334 143.30769230769232
fidelity/reno ccp_netlink cell 0 8.878 5935786.666666667 142.1219512195122
fidelity/reno ccp_netlink cell 0 8.957 8021333.333333334 145.23809523809524
fidelity/reno ccp_netlink cell 0 9.037 6898346.666666667 163.43478260869566
fidelity/reno ccp_netlink cell 0 9.123 6256640.0 165.02
fidelity/reno ccp_netlink cell 0 9.209 11550720.0 145.33898305084745
fidelity/reno ccp_netlink cell 0 9.293 6737920.0 135.53191489361703
fidelity/reno ccp_netlink cell 0 9.373 5935786.666666667 128.85
fidelity/reno ccp_netlink cell 0 9.453 5454506.666666667 175.57575757575756
fidelity/reno ccp_netlink cell 0 9.551 9304746.666666668 199.32692307692307
fidelity/reno ccp_netlink cell 0 9.627 8663040.0 187.85416666666666
fidelity/reno ccp_netlink cell 0 9.737 9304746.666666668 146.77631578947367
fidelity/reno ccp_netlink cell 0 9.819 5454506.666666667 141.4
fidelity/reno ccp_netlink cell 0 9.895 4973226.666666667 179.78571428571428
fidelity/reno ccp_netlink cell 0 9.978 4010666.666666667 199.97058823529412
fidelity/reno ccp_netlink cell 0 10.059 3368960.0 242.92307692307693
fidelity/reno ccp_netlink cell 0 10.134 7058773.333333334 277.04545454545456
fidelity/reno ccp_netlink cell 0 10.21 7058773.333333334 259.84444444444443
fidelity/reno ccp_netlink cell 0 10.396 10106880.0 187.99065420560748
fidelity/reno ccp_netlink cell 0 10.481 6737920.0 110.66071428571429
fidelity/reno ccp_netlink cell 0 10.558 6096213.333333334 59.48888888888889
fidelity/reno ccp_netlink cell 0 10.634 5454506.666666667 83.55555555555556
fidelity/reno ccp_netlink cell 0 10.715 4331520.0 112.83870967741936
fidelity/reno ccp_netlink cell 0 10.791 4812800.0 133.71875
fidelity/reno ccp_netlink cell 0 10.872 5614933.333333334 127.85185185185185
fidelity/reno ccp_netlink cell 0 10.951 5294080.0 122.91666666666667
fidelity/reno ccp_netlink cell 0 11.038 2085546.6666666667 110.625
fidelity/reno ccp_netlink cell 0 11.138 2085546.6666666667 158.625
fidelity/reno ccp_netlink cell 0 11.314 3689813.3333333335 244.03030303030303
fidelity/reno ccp_netlink cell 0 11.393 320853.3333333334 294.76190476190476
fidelity/reno ccp_netlink cell 0 11.5 12513280.0 166.28205128205127
fidelity/reno ccp_netlink cell 0 11.595 3850240.0 39.26086956521739
fidelity/reno ccp_netlink cell 0 11.675 4331520.0 133.6206896551724
fidelity/reno ccp_netlink cell 0 11.753 4491946.666666667 159.43243243243242
fidelity/reno ccp_netlink cell 0 11.872 9946453.333333334 107.69491525423729
fidelity/reno ccp_netlink cell 0 11.955 7219200.0 65.95454545454545
fidelity/reno ccp_netlink cell 0 12.047 7058773.333333334 91.9090909090909
fidelity/reno ccp_netlink cell 0 12.133 6417066.666666667 88.72222222222223
fidelity/reno ccp_netlink cell 0 12.216 3850240.0 116.0
fidelity/reno ccp_netlink cell 0 12.301 4171093.3333333335 124.48
fidelity/reno ccp_netlink cell 0 12.459 13315413.333333334 158.85245901639345
fidelity/reno ccp_netlink cell 0 12.556 320853.3333333334 97.28125
fidelity/reno ccp_netlink cell 0 12.669 1443840.0 185.25
fidelity/reno ccp_netlink cell 0 12.773 4010666.666666667 267.7692307692308
fidelity/reno ccp_netlink cell 0 12.859 5614933.333333334 339.53125
fidelity/reno ccp_netlink cell 0 12.943 8502613.333333334 267.53333333333336
fidelity/reno ccp_netlink cell 0 13.025 9625600.0 101.6
fidelity/reno ccp_netlink cell 0 13.101 6417066.666666667 80.72549019607843
fidelity/reno ccp_netlink cell 0 13.177 9304746.666666668 76.56521739130434
fidelity/reno ccp_netlink cell 0 13.257 7860906.666666667 81.2542372881356
fidelity/reno ccp_netlink cell 0 13.334 7058773.333333334 75.68627450980392
fidelity/reno ccp_netlink cell 0 13.412 9304746.666666668 82.3921568627451
fidelity/reno ccp_netlink cell 0 13.488 12032000.0 74.04477611940298
fidelity/reno ccp_netlink cell 0 13.569 14277973.333333334 49.753246753246756
fidelity/reno ccp_netlink cell 0 13.645 12834133.333333334 38.73118279569893
fidelity/reno ccp_netlink cell 0 13.738 320853.3333333334 31.394736842105264
fidelity/reno ccp_netlink cell 0 13.839 1443840.0 158.83333333333334
fidelity/reno ccp_netlink cell 0 13.923 2887680.0 235.3846153846154
fidelity/reno ccp_netlink cell 0 14.001 3368960.0 300.6190476190476
fidelity/reno ccp_netlink cell 0 14.077 2727253.3333333335 358.22727272727275
fidelity/reno ccp_netlink cell 0 14.156 3689813.3333333335 388.04347826086956
fidelity/reno ccp_netlink cell 0 14.232 2887680.0 274.5625
fidelity/reno ccp_netlink cell 0 14.321 2085546.6666666667 280.4117647058824
fidelity/reno ccp_netlink cell 0 14.397 2727253.3333333335 302.89473684210526
fidelity/reno ccp_netlink cell 0 14.476 481280.0 312.1818181818182
fidelity/reno ccp_netlink cell 0 14.568 5935786.666666667 305.30434782608694
fidelity/reno ccp_netlink cell 0 14.653 4812800.0 299.5652173913044
fidelity/reno ccp_netlink cell 0 14.736 2406400.0 272.4736842105263
fidelity/reno ccp_netlink cell 0 14.819 3850240.0 238.35
fidelity/reno ccp_netlink cell 0 14.903 2727253.3333333335 263.2857142857143
fidelity/reno ccp_netlink cell 0 14.983 3368960.0 292.25
fidelity/reno ccp_netlink cell 0 15.068 2406400.0 311.3157894736842
fidelity/reno ccp_netlink cell 0 15.151 962560.0 316.46666666666664
fidelity/reno ccp_netlink cell 0 15.373 11711146.666666668 327.6666666666667
fidelity/reno ccp_netlink cell 0 15.464 4491946.666666667 244.76
fidelity/reno ccp_netlink cell 0 15.544 2727253.3333333335 128.76190476190476
fidelity/reno ccp_netlink cell 0 15.621 3689813.3333333335 203.48
fidelity/reno ccp_netlink cell 0 15.722 4331520.0 242.66666666666666
fidelity/reno ccp_netlink cell 0 15.803 2566826.666666667 250.9375
fidelity/reno ccp_netlink cell 0 15.979 5935786.666666667 320.19354838709677
fidelity/reno ccp_netlink cell 0 16.065 3048106.666666667 341.5217391304348
fidelity/reno ccp_netlink cell 0 16.171 4331520.0 369.0
fidelity/reno ccp_netlink cell 0 16.247 3048106.666666667 307.3529411764706
fidelity/reno ccp_netlink cell 0 16.323 2887680.0 283.8095238095238
fidelity/reno ccp_netlink cell 0 16.439 3850240.0 296.3030303030303
fidelity/reno ccp_netlink cell 0 16.52 1764693.3333333335 274.0
fidelity/reno ccp_netlink cell 0 16.685 5935786.666666667 340.8076923076923
fidelity/reno ccp_netlink cell 0 16.78 1764693.3333333335 374.3
fidelity/reno ccp_netlink cell 0 16.987 5133653.333333334 433.45454545454544
fidelity/reno ccp_netlink cell 0 17.069 2085546.6666666667 507.3333333333333
fidelity/reno ccp_netlink cell 0 17.158 2085546.6666666667 401.9375
fidelity/reno ccp_netlink cell 0 17.241 3048106.666666667 448.8333333333333
fidelity/reno ccp_netlink cell 0 17.317 2085546.6666666667 496.25
fidelity/reno ccp_netlink cell 0 17.407 2085546.6666666667 398.5
fidelity/reno ccp_netlink cell 0 17.483 2887680.0 446.73333333333335
fidelity/reno ccp_netlink cell 0 17.567 3368960.0 436.0
fidelity/reno ccp_netlink cell 0 17.655 2085546.6666666667 400.63157894736844
fidelity/reno ccp_netlink cell 0 17.738 1443840.0 420.46666666666664
fidelity/reno ccp_netlink cell 0 17.821 802133.3333333334 447.2857142857143
fidelity/reno ccp_netlink cell 0 17.922 1283413.3333333335 495.2
fidelity/reno ccp_netlink cell 0 18.005 1122986.6666666667 540.0
fidelity/reno ccp_netlink cell 0 18.092 802133.3333333334 574.375
fidelity/reno ccp_netlink cell 0 18.171 160426.6666666667 617.75
fidelity/reno ccp_netlink cell 0 18.251 481280.0 670.0
fidelity/reno ccp_netlink cell 0 18.333 7540053.333333334 768.2105263157895
fidelity/reno ccp_netlink cell 0 18.418 10909013.333333334 592.483870967742
fidelity/reno ccp_netlink cell 0 18.496 10909013.333333334 112.91549295774648
fidelity/reno ccp_netlink cell 0 18.573 11069440.0 66.9375
fidelity/reno ccp_netlink cell 0 18.65 10267306.666666668 70.75
fidelity/reno ccp_netlink cell 0 18.725 16363520.0 63.50666666666667
fidelity/reno ccp_netlink cell 0 18.804 15080106.666666668 49.66346153846154
fidelity/reno ccp_netlink cell 0 18.888 18769920.0 39.56880733944954
fidelity/reno ccp_netlink cell 0 18.967 5935786.666666667 41.525
fidelity/reno ccp_netlink cell 0 19.083 8663040.0 114.61702127659575
fidelity/reno ccp_netlink cell 0 19.158 17967786.666666668 140.80597014925374
fidelity/reno ccp_netlink cell 0 19.237 14117546.666666668 60.98019801980198
fidelity/reno ccp_netlink cell 0 19.315 16363520.0 53.241379310344826
fidelity/reno ccp_netlink cell 0 19.393 14117546.666666668 56.52173913043478
fidelity/reno ccp_netlink cell 0 19.471 11711146.666666668 62.61363636363637
fidelity/reno ccp_netlink cell 0 19.549 12834133.333333334 60.20987654320987
fidelity/reno ccp_netlink cell 0 19.628 12834133.333333334 74.56756756756756
fidelity/reno ccp_netlink cell 0 19.709 13475840.0 76.18518518518519
fidelity/reno ccp_netlink cell 0 19.786 11069440.0 68.3170731707317
fidelity/reno ccp_netlink cell 0 19.878 12834133.333333334 81.32
fidelity/reno ccp_netlink cell 0 19.969 13796693.333333334 84.1046511627907
fidelity/reno ccp_netlink cell 0 20.047 9304746.666666668 77.92592592592592
fidelity/reno ccp_netlink cell 0 20.131 15240533.333333334 75.83116883116882
fidelity/reno ccp_netlink cell 0 20.213 11550720.0 78.64473684210526
fidelity/reno ccp_netlink cell 0 20.289 8983893.333333334 93.70689655172414
fidelity/reno ccp_netlink cell 0 20.366 8823466.666666668 113.3
fidelity/reno ccp_netlink cell 0 20.443 9304746.666666668 113.62068965517241
fidelity/reno ccp_netlink cell 0 20.522 9144320.0 119.7719298245614
fidelity/reno ccp_netlink cell 0 20.597 9625600.0 123.8688524590164
fidelity/reno ccp_netlink cell 0 20.673 13957120.0 104.54285714285714
fidelity/reno ccp_netlink cell 0 20.755 10909013.333333334 90.54545454545455
fidelity/reno ccp_netlink cell 0 20.832 13315413.333333334 82.08108108108108
fidelity/reno ccp_netlink cell 0 20.914 11550720.0 86.26506024096386
fidelity/reno ccp_netlink cell 0 20.992 10748586.666666668 63.43589743589744
fidelity/reno ccp_netlink cell 0 21.075 16684373.333333334 84.77272727272727
fidelity/reno ccp_netlink cell 0 21.153 11229866.666666668 70.55844155844156
fidelity/reno ccp_netlink cell 0 21.228 12352853.333333334 86.42647058823529
fidelity/reno ccp_netlink cell 0 21.31 13154986.666666668 91.01136363636364
fidelity/reno ccp_netlink cell 0 21.386 11550720.0 86.8169014084507
fidelity/reno ccp_netlink cell 0 21.473 16042666.666666668 81.95918367346938
fidelity/reno ccp_netlink cell 0 21.554 14117546.666666668 74.76136363636364
fidelity/reno ccp_netlink cell 0 21.633 5454506.666666667 79.9080459770115
fidelity/reno ccp_netlink cell 0 21.721 14277973.333333334 76.68888888888888
